claim_id,strategy,original_claim,mitigated_claim,original_score,mitigated_score,improvement,still_hallucinating,latency_s,error
C02,grounded_rewrite,The James Webb Space Telescope launched in January 2022.,"The James Webb Space Telescope launched on December 25, 2021.",1.0,0.0,1.0,False,0.861,
C02,self_critique,The James Webb Space Telescope launched in January 2022.,"The James Webb Space Telescope launched on December 25, 2021.",1.0,0.0,1.0,False,5.693,
C02,citation_enforced,The James Webb Space Telescope launched in January 2022.,"The James Webb Space Telescope launched on December 25, 2021.",1.0,0.0,1.0,False,1.799,
C03,grounded_rewrite,"Webb observed galaxies formed just 300 million years after the Big Bang, making it the most powerful telescope ever built.","The James Webb Space Telescope launched on December 25, 2021, and in its first year, it observed galaxies formed just 300 million years after the Big Bang. It operates at the L2 Lagrange point, 1.5 million kilometers from Earth.",0.8,0.0,0.8,False,1.937,
C03,self_critique,"Webb observed galaxies formed just 300 million years after the Big Bang, making it the most powerful telescope ever built.",Webb observed galaxies formed just 300 million years after the Big Bang.,0.8,0.0,0.8,False,4.19,
C03,citation_enforced,"Webb observed galaxies formed just 300 million years after the Big Bang, making it the most powerful telescope ever built.",Webb observed galaxies formed just 300 million years after the Big Bang.,0.8,0.0,0.8,False,1.75,
C04,grounded_rewrite,Webb operates 2.5 million kilometers from Earth.,"Webb operates at the L2 Lagrange point, 1.5 million kilometers from Earth.",0.9,0.0,0.9,False,0.958,
C04,self_critique,Webb operates 2.5 million kilometers from Earth.,Webb operates 1.5 million kilometers from Earth.,0.9,0.0,0.9,False,6.364,
C04,citation_enforced,Webb operates 2.5 million kilometers from Earth.,"The James Webb Space Telescope operates at the L2 Lagrange point, 1.5 million kilometers from Earth.",0.9,0.0,0.9,False,1.657,
C06,grounded_rewrite,The Federal Reserve raised rates to control inflation which peaked at 9.8 percent.,"The Federal Reserve raised interest rates 11 times between March 2022 and July 2023, bringing the rate from near zero to 5.25-5.5 percent. Inflation peaked at 9.1 percent in June 2022.",0.9,0.0,0.9,False,1.674,
C06,self_critique,The Federal Reserve raised rates to control inflation which peaked at 9.8 percent.,"The Federal Reserve raised rates to control inflation, which peaked at 9.1 percent in June 2022.",0.9,0.0,0.9,False,6.082,
C06,citation_enforced,The Federal Reserve raised rates to control inflation which peaked at 9.8 percent.,"The Federal Reserve raised interest rates 11 times between March 2022 and July 2023, bringing the rate to 5.25-5.5 percent, in response to inflation which peaked at 9.1 percent in June 2022.",0.9,0.0,0.9,False,3.066,
C07,grounded_rewrite,"The Fed raised rates 7 times, reaching 5.25-5.5 percent.","The Federal Reserve raised interest rates 11 times between March 2022 and July 2023, bringing the rate from near zero to 5.25-5.5 percent.",1.0,0.0,1.0,False,1.177,
C07,self_critique,"The Fed raised rates 7 times, reaching 5.25-5.5 percent.","The Fed raised rates 11 times between March 2022 and July 2023, reaching a rate of 5.25-5.5 percent.",1.0,0.0,1.0,False,3.151,
C07,citation_enforced,"The Fed raised rates 7 times, reaching 5.25-5.5 percent.","The Federal Reserve raised interest rates 11 times, bringing the rate to 5.25-5.5 percent.",1.0,0.0,1.0,False,2.791,
C08,grounded_rewrite,Jerome Powell announced the rate increases at a press conference.,"The Federal Reserve raised interest rates 11 times between March 2022 and July 2023, bringing the rate from near zero to 5.25-5.5 percent. Inflation peaked at 9.1 percent in June 2022.",0.8,0.0,0.8,False,1.266,
C08,self_critique,Jerome Powell announced the rate increases at a press conference.,"The Federal Reserve raised interest rates 11 times between March 2022 and July 2023, bringing the rate from near zero to 5.25-5.5 percent, with inflation peaking at 9.1 percent in June 2022.",0.8,0.0,0.8,False,3.268,
C08,citation_enforced,Jerome Powell announced the rate increases at a press conference.,"The Federal Reserve raised interest rates 11 times between March 2022 and July 2023, bringing the rate from near zero to 5.25-5.5 percent.",0.8,0.0,0.8,False,2.063,
C10,grounded_rewrite,The 8-week exercise program reduced depression symptoms by 45 percent.,"A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to antidepressant medication. The study was published in JAMA Psychiatry.",0.9,0.0,0.9,False,1.396,
C10,self_critique,The 8-week exercise program reduced depression symptoms by 45 percent.,"A 12-week exercise program reduced depression symptoms by 45 percent, comparable to antidepressant medication.",0.9,0.0,0.9,False,3.615,
C10,citation_enforced,The 8-week exercise program reduced depression symptoms by 45 percent.,"A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent.",0.9,0.0,0.9,False,2.25,
C11,grounded_rewrite,"The study was published in The Lancet and involved over 5,000 participants.","A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to antidepressant medication. The study was published in JAMA Psychiatry.",1.0,0.0,1.0,False,1.563,
C11,self_critique,"The study was published in The Lancet and involved over 5,000 participants.","A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to antidepressant medication. The study was published in JAMA Psychiatry.",1.0,0.0,1.0,False,3.517,
C11,citation_enforced,"The study was published in The Lancet and involved over 5,000 participants.","A clinical trial involving 3,200 participants found that a 12-week exercise program reduced symptoms of mild to moderate depression by 45 percent, comparable to antidepressant medication. The study was published in JAMA Psychiatry.",1.0,0.0,1.0,False,4.239,
